               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  20,            0.016306,           0.0095352,           0.0043952,             0.99573,             0.99592,             0.99361,              0.9015,           0.0054582,           0.0067537,          0.00090189,              0.0043,              0.0043,              0.0043
                  21,            0.016211,            0.010182,           0.0042277,             0.99506,              0.9948,             0.99346,             0.90571,           0.0053072,            0.006708,           0.0009095,               0.004,               0.004,               0.004
                  22,            0.016101,           0.0099324,           0.0042249,             0.99483,             0.99463,             0.99379,             0.89225,           0.0057225,           0.0058294,          0.00085798,              0.0037,              0.0037,              0.0037
                  23,             0.01558,           0.0093998,           0.0044698,             0.99357,             0.99683,             0.99384,             0.90304,           0.0049822,            0.007082,          0.00077846,              0.0034,              0.0034,              0.0034
                  24,            0.015294,           0.0094436,           0.0042324,             0.99522,             0.99743,               0.994,             0.90486,            0.004747,           0.0070231,          0.00070681,              0.0031,              0.0031,              0.0031
                  25,            0.014989,           0.0095191,           0.0040383,             0.99062,             0.99635,             0.99363,             0.90855,           0.0047781,           0.0069091,          0.00076223,              0.0028,              0.0028,              0.0028
                  26,            0.014596,           0.0089072,           0.0039113,             0.99414,             0.99704,             0.99374,             0.90505,           0.0047672,           0.0060806,          0.00060337,              0.0025,              0.0025,              0.0025
                  27,             0.01439,           0.0091163,           0.0037526,             0.99608,             0.99636,             0.99343,              0.9149,           0.0045171,           0.0062559,           0.0005422,              0.0022,              0.0022,              0.0022
                  28,            0.014121,           0.0090287,           0.0036488,             0.99509,             0.99565,             0.99344,             0.91501,           0.0042859,           0.0060464,          0.00054304,              0.0019,              0.0019,              0.0019
                  29,            0.014068,           0.0091663,           0.0035094,             0.99574,             0.99611,              0.9935,             0.91527,           0.0045811,           0.0057488,          0.00044899,              0.0016,              0.0016,              0.0016
                  30,            0.013474,           0.0087864,            0.003514,             0.99414,             0.99576,             0.99345,             0.91167,            0.004303,           0.0060593,          0.00045655,              0.0013,              0.0013,              0.0013
                  31,            0.013205,           0.0083218,           0.0034916,             0.99431,             0.99442,             0.99357,             0.91296,           0.0042894,           0.0068201,          0.00047931,               0.001,               0.001,               0.001
                  32,            0.013355,           0.0088715,           0.0034126,             0.99519,             0.99549,             0.99358,             0.91422,            0.004091,           0.0064557,           0.0003854,              0.0007,              0.0007,              0.0007
